ID,Resistence,time_constant,streng_rectif,rebound_slope,nb_rebound_sp,sag,sag_ratio,rheobaseLP,burst,delay,latencyLP,meanISI,cv_ISI,adaptation1,adaptation2,peak_adaptation1,peak_adaptation2,peakLP,thresholdLP,half_width,height,fastTrough,slowTrough,nb_persistent,dur_persistence,firing_rate_2xRB,cvISIlast_2xRB,rheobase_3ms,latency,threshold,threshold2,peak,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,halfWidthTP,halfWidthPT,peakDown,trough,preview,link,Morphology
M08_MW_A1_C03,308.8378975,16.225,15.65063512,-0.003322888,0,15.65063512,1.169580975,30,214.65,1.269717624,260.8,205.4,0.291543485,0.041372728,1.190825104,0.996629213,0.001586704,37.47558678,-44.00634864,0.85,81.48193542,3.25,50.15,0,0,32,0.154496625,245,2.9,-47.82104599,-47.82104599,43.36547948,91.18652548,103.8208031,429.077158,-111.6943384,-3.841530055,0.7,0.75,-111.6943384,-60.45532362,,,
M08_MW_A1_C07,144.3481478,8.791666667,6.181640763,-0.001440438,0,6.181640763,1.07199727,130,,,54.1,,,,,,,23.07128958,-46.32568463,0.85,69.39697421,1.95,51.1,0,0,,,,0,,,,,,,,,,,,,,,
M10_SA_A1_C01,303.6499091,20.14375,1.685058631,0.000181599,0,1.685058631,1.018944728,130,,,72.3,,,,,,,31.14624093,-30.80444405,0.85,61.95068498,3.35,3.35,0,0,3,1.344812997,550,3.65,-44.31457619,-44.31457619,38.58337489,82.89795107,103.0487084,282.0434633,-77.20947438,-3.652964427,0.95,1.1,-77.20947438,-64.46533347,,,
M10_SA_A1_C10,496.0937611,22.00625,9.363891811,-0.001134224,0,9.363891811,1.083634706,50,12,0.17551661,3.05,17.37727273,0.117135244,0.003967021,1.535087719,0.929458652,-0.000625566,39.13574306,-52.75268673,0.85,91.88842979,2.55,2.55,,,80,0.085547189,105,5,-56.56738408,-56.56738408,41.13159272,97.69897679,108.5876489,329.7119214,-126.5869169,-2.604628737,0.8,0.85,-126.5869169,-67.4560562,,,
M01_CN_A2_C06,101.6235374,8.833333333,1.382629425,0.00205055,1,1.382629425,1.017527896,10,19,0.373605557,7.1,19.004,0.06827816,0.00070587,1.071038251,0.943174262,-0.0000873,4.434204201,-55.23071413,0.8,59.66491833,3.5,3.5,57,1137.7,68,0.040973142,,0,,,,,,,,,,,,,,,
M01_JS_A2_C05,509.0332145,31.48333333,22.98107962,0.003507256,0,22.98107962,1.230559716,10,,1.738095238,197.1,113.4,0,,,1.068904201,,16.51001013,-38.40942469,0.8,54.91943482,5.1,11.9,3,16323.2,21,0.116660668,30,51.3,-42.90161229,-42.90161229,16.15600622,59.05761851,81.37207213,193.4814496,-91.55273642,-2.113333333,0.8,0.95,-91.55273642,-65.21606591,,,
M01_MW_D2_C03,366.6992269,20.75,3.896850673,-0.000583894,0,3.896850673,1.050401262,30,21.65,0.697459584,15.1,21.65,0.133909367,,,1.035153462,,1.464843783,-32.73925854,0.8,34.20410233,2.5,2.5,0,0,1,,,0,,,,,,,,,,,,,,,
M01_SM_A3_C08,541.8090941,20.51666667,19.68347212,0.004175063,1,19.68347212,1.208679143,50,,,3.4,,,,,,,18.65234417,-47.50976669,0.8,66.16211085,2.4,2.4,0,0,2,0,40,3,-46.25854596,-46.25854596,17.79785196,64.05639792,75.68359544,142.4560579,-68.84765779,-2.069148936,1,1.15,-68.84765779,-57.88574348,,,
M02_SM_A4_C08,416.2597749,22.15833333,4.525756937,0.000189938,0,4.525756937,1.038632871,30,93.575,0.149627704,31.65,211.525,0.962318871,0.114676868,2.165307635,0.971914894,-0.000142405,29.84619207,-41.87011812,0.8,71.7163102,2.15,16.55,0,0,28,0.201767906,310,3.4,-45.83740337,-45.83740337,26.6418463,72.47924967,99.97558817,291.7480534,-106.2011742,-2.747126437,0.8,1,-106.2011742,-73.33374187,,,
M02_SM_A5_C12,388.793954,16.26666667,4.582519634,-0.001840123,0,4.582519634,1.04385719,10,96.55,0.38621417,62.25,161.18,0.601768368,0.078573132,1.912820513,0.871576111,-0.016270295,25.45166073,-42.51098728,0.8,67.962648,4.95,13.2,0,0,24,0.208428999,160,3,-49.74365346,-49.74365346,23.10180716,72.84546061,83.40454288,247.8027399,-92.163088,-2.688741722,0.8,0.9,-92.163088,-60.30273572,,,
M03_JS_A1_C15,303.4057685,7.15,1.01062014,-0.001297258,0,1.01062014,1.01223761,30,169.45,0.317164179,9,28.37647059,1.779343263,-0.004329879,0.710578842,1.017435654,-0.000712926,12.54882841,-38.90991298,0.8,51.45874138,3,3,0,0,84,0.062057216,,0,,,,,,,,,,,,,,,
M04_JS_A1_C06,134.8005052,21.79166667,0.991394065,-0.000363702,0,0.991394065,1.013113396,90,,,24.7,,,,,,,19.92187545,-46.96960554,0.8,66.89148099,2.35,2.35,0,0,3,0.288664518,280,3.35,-57.44018683,-57.44018683,27.23388733,84.67407416,98.68774635,303.7109443,-117.1264675,-2.593017196,0.7,0.8,-117.1264675,-71.45385902,,,
M04_MW_A1_C02,98.75488502,7.116666667,3.179077219,-0.000405905,0,3.179077219,1.035760727,270,,,29.3,,,,,,,42.40112399,-41.34521577,0.8,83.74633976,5.05,18.5,1,0.25,,,,0,,,,,,,,,,,,,,,
M04_MW_A1_C10,77.27050954,7.233333333,1.833496135,-0.00022756,0,1.833496135,1.019546348,330,,,17.95,,,,,,,36.84082114,-58.06884895,0.8,94.90967009,2.2,9.75,0,0,,,590,3.4,-67.38281401,-67.38281401,34.50927812,101.8920921,122.3083523,413.4521577,-111.6943384,-3.701639344,0.8,0.95,-111.6943384,-87.79907423,,,
M04_SM_A1_C07,242.431646,13.89166667,4.45336924,-0.000383491,0,4.45336924,1.044519127,90,,,24.4,,,,,,,25.78125058,-45.91064556,0.8,71.69189613,4.75,8.6,0,0,,,350,3.6,-51.74560663,-51.74560663,22.2656255,74.01123212,91.36352743,191.8945355,-99.48730691,-1.928834356,0.8,0.95,-99.48730691,-69.09790194,,,
M05_SM_A1_C09,425.7202244,25.56666667,40.05432218,-0.002990696,4,40.05432218,1.771378196,10,30.45,0.695641345,29.4,42.26315789,0.411853551,0.030360935,3.092063492,0.934557439,-0.000393524,26.88598693,-37.93335046,0.8,64.81933739,3.5,3.5,0,0,30,0.102367057,5,1.8,-40.71045013,-40.71045013,28.32031313,69.03076326,79.71191584,244.1406305,-83.61816593,-2.919708029,0.8,0.95,-83.61816593,-51.39160271,,,
M07_MW_A1_C03,348.2055742,10.86666667,10.38146996,-0.002228783,0,10.38146996,1.114084687,30,,,10.6,,,,,,,23.620606,-34.57641679,0.8,58.19702279,2.9,2.9,0,0,1,,,0,,,,,,,,,,,,,,,
M08_JS_A1_C06,308.5327217,22.8,6.56005874,-0.000754352,0,6.56005874,1.068457727,50,,,21.85,,,,,,,20.59936569,-44.73877053,0.8,65.33813623,2.1,2.1,0,0,14,0.315467387,400,3.5,-49.95727651,-49.95727651,18.98193402,68.93921053,82.64160341,244.1406305,-103.1494164,-2.366863905,0.7,0.85,-103.1494164,-63.65966939,,,
M10_JS_A1_C12,235.8572876,9.975,6.856079255,-0.002276263,0,6.856079255,1.062590894,50,,,38.1,,,,,,,4.455566506,-45.62378032,0.8,50.07934682,5.05,7,0,0,1,,325,4.1,-48.40087999,-48.40087999,8.17871112,56.57959111,76.7517107,211.7919969,-84.83886908,-2.496402878,0.7,0.9,-84.83886908,-68.57299958,,,
M10_JS_A1_C14,173.5142338,15.65625,7.642212085,-0.001160661,0,7.642212085,1.080222195,90,128.7,0.634809635,81.7,128.7,0.571399419,,,0.885714286,,25.66528378,-43.76220801,0.8,69.42749179,2.7,40.75,0,0,,,600,3.7,-44.15893653,-44.15893653,8.850097854,53.00903439,75.04272629,186.7675823,-81.17675963,-2.30075188,0.75,1,-81.17675963,-66.19262843,,,
M10_SA_A1_C03,250.0697601,18.33125,5.65191663,-0.000734225,0,5.65191663,1.061317085,120,,0.423611111,24.4,57.6,0,,,0.917525773,,27.08740295,-40.99731537,0.8,68.08471832,4.25,4.25,0,0,21,0.246559706,,0,,,,,,,,,,,,,,,
M02_JS_D3_C07,313.7207101,9.558333333,3.231811596,-0.000536074,0,3.231811596,1.028474631,110,,,14.6,,,,,,,26.67236388,-41.22924897,0.75,67.90161285,2.3,2.3,0,0,11,0.357319984,240,3.4,-51.2695324,-51.2695324,26.03149472,77.30102712,102.8442406,319.8242259,-115.3564479,-2.772486772,0.65,0.8,-115.3564479,-76.81274586,,,
M02_SM_A6_C17,479.8889267,15.09166667,5.343017698,-0.00218637,1,5.343017698,1.051815373,30,26.175,0.164970427,6.45,39.09791667,0.134992811,0.010291655,1.605882353,0.887609214,-0.002591031,28.68652408,-48.15673936,0.75,76.84326344,4.9,5.35,10,17034.3,39,0.133798122,,0,,,,,,,,,,,,,,,
M03_JS_A1_C05,345.9472734,22.08333333,8.924438676,-0.003425102,0,8.924438676,1.086973332,30,,0.65303244,23.15,35.45,0,,,0.875257308,,22.70507863,-51.42212029,0.75,74.12719892,2.9,2.9,0,0,5,0.117276078,,0,,,,,,,,,,,,,,,
M03_JS_A1_C18,387.0849696,25.725,4.621215924,0.000911304,0,4.621215924,1.042124507,30,45.8,0.7667789,48.8,63.64285714,0.146938901,0.017330876,1.570938215,0.904529382,-0.00549453,27.86254945,-44.63501076,0.75,72.49756021,2.5,10.8,0,0,29,0.128437392,220,3.1,-50.78125114,-50.78125114,29.8950202,80.67627133,93.85376186,286.6211002,-113.4033228,-2.52744887,0.65,0.75,-113.4033228,-63.95874166,,,
M03_SM_A1_C03,610.7177871,18.23333333,3.054687568,-0.001862937,0,3.054687568,1.027261457,10,,,21.1,,,,,,,28.71704166,-33.99047928,0.75,62.70752093,5.05,8.35,122,6478.05,26,0.117887532,,0,,,,,,,,,,,,,,,
M03_SM_A1_C11,542.7246215,17.975,22.16479542,-0.00102205,1,22.16479542,1.221735647,10,62,0.215095383,19.45,90.425,0.758496816,0.019235973,1.279916753,0.914055763,-0.005622371,20.06835982,-43.63403418,0.75,63.702394,4.65,4.65,0,0,33,0.132984435,35,17.9,-45.39184672,-45.39184672,22.1496587,67.54150542,84.0698261,262.939459,-127.4414091,-2.063218391,0.55,0.7,-127.4414091,-61.9201674,,,
M04_JS_A1_C02,413.1317231,24.35833333,6.442505027,-0.000210159,0,6.442505027,1.079253908,20,,,53.2,,,,,,,30.04455634,-41.46423433,0.75,71.50879066,5.05,14.85,0,0,4,0.220770253,70,4.95,-42.01049899,-42.01049899,18.43566936,60.44616834,79.27246271,158.0200231,-61.40136856,-2.573558648,0.95,1.2,-61.40136856,-60.83679335,,,
M04_JS_A1_C08,445.0988869,13.41666667,1.478149447,-0.001464484,1,1.478149447,1.019078575,10,,,17.1,,,,,,,25.95214902,-48.71521105,0.75,74.66736007,2.45,2.45,1,0.35,9,1.757313793,30,7,-47.83935654,-47.83935654,24.34082086,72.18017739,95.40710662,219.7876026,-111.2670923,-1.975315414,0.75,0.95,-111.2670923,-71.06628577,,,
M04_JS_A1_C16,691.4520418,30.70833333,4.704162703,-0.003966068,1,4.704162703,1.060526458,20,,,25.75,,,,,,,18.27392619,-35.3363045,0.75,53.61023069,2.1,2.1,0,0,1,,130,7.2,-45.39184672,-45.39184672,20.1568608,65.54870752,76.85852223,177.0629922,-100.2197288,-1.766747868,0.8,0.85,-100.2197288,-56.70166142,,,
M04_SM_A1_C02,767.8833179,22.89166667,27.47876038,-0.002585021,0,27.47876038,1.216231014,30,,,7.05,,,,,,,12.78686552,-44.4152842,0.75,57.20214972,2.35,2.35,0,0,2,0,35,3.8,-45.24536234,-45.24536234,6.274414203,51.51977654,68.52417145,118.6523464,-75.43945481,-1.572815534,0.8,1,-75.43945481,-62.24975725,,,
M04_SM_A1_C10,368.8964926,21.125,21.66967822,-0.001224475,1,21.66967822,1.238862082,30,,,17,,,,,,,15.13671909,-48.43750108,0.75,63.57422017,4.95,6.85,0,0,1,,50,4.7,-50.4577648,-50.4577648,15.89965856,66.35742336,76.55029468,150.0244174,-80.68847837,-1.859304085,0.85,1,-80.68847837,-60.65063612,,,
M04_SM_A1_C11,469.7876082,12.05833333,7.757080252,0.003308098,1,7.757080252,1.077712718,10,68.9,0.100873099,8.35,82.77727273,0.242319759,0.015830622,1.396440129,0.949195763,-0.004211791,18.68896526,-43.54248144,0.75,62.2314467,3.05,3.05,3,7693.35,22,0.104250484,15,3.25,-45.51391703,-45.51391703,18.68286175,64.19677878,83.89892766,162.4755896,-90.94238485,-1.786577181,0.8,0.95,-90.94238485,-65.21606591,,,
M08_JS_A1_C04,575.2563605,28.675,8.591919137,-0.000697452,0,8.591919137,1.078478924,50,,,5.5,,,,,,,20.26367233,-40.77148529,0.75,61.03515761,2.25,2.25,0,0,12,0.155659315,80,3.3,-46.44775494,-46.44775494,22.70507863,69.15283358,85.29663277,196.5332075,-115.3564479,-1.703703704,0.7,0.85,-115.3564479,-62.59155413,,,
M08_JS_A1_C09,425.4150486,35.625,11.45935084,-0.001092383,0,11.45935084,1.121816707,10,132.575,0.577580978,79.35,137.3833333,0.089656422,0.009212168,1.037769149,0.911607576,-0.020088913,25.84838925,-36.98730551,0.75,62.83569476,2.4,2.4,0,0,13,0.090670758,170,3.3,-39.79492276,-39.79492276,21.72851611,61.52343888,79.31518732,208.1298875,-100.0976585,-2.079268293,0.75,0.9,-100.0976585,-57.58667121,,,
M10_JS_A1_C01,185.9664959,28.36666667,9.039306843,-0.001750385,0,9.039306843,1.095894846,40,,,8.55,,,,,,,21.66748095,-45.28808695,0.75,66.9555679,2.25,2.25,0,0,2,0,210,3.2,-36.83471762,-36.83471762,2.166748095,39.00146572,58.95996226,123.2910184,-61.03515761,-2.02,0.9,1.2,-61.03515761,-56.79321416,,,
M01_CN_A2_C05,-9.765625218,3.9,0.297180182,0.00023732,0,0.297180182,1.005905175,110,14.2,0.278280543,4.1,14.73333333,0.105382274,0.00263073,1.028571429,0.930189182,-0.009204478,6.042480604,-51.22375603,0.7,57.26623663,2.2,2.2,6,57.6,110,0.0253015,,0,,,,,,,,,,,,,,,
M01_JS_A6_C13,322.570808,20.5,6.939087069,0.002184427,1,6.939087069,1.071318792,10,33.15,0.935840708,42.3,45.2,0.654598914,0.029279097,3.770186335,0.969978556,0.00025837,27.42919983,-57.95898567,0.7,85.3881855,2.3,2.3,32,17953.7,60,0.191297808,80,6.55,-63.60473775,-63.60473775,22.27783253,85.88257028,84.79614447,229.7363333,-111.9384791,-2.052344602,0.8,0.8,-111.9384791,-62.51831194,,,
M01_JS_B2_C17,444.4580177,21.95,21.84521533,-0.003184884,0,21.84521533,1.223850576,70,,,16.5,,,,,,,13.60473663,-42.96264744,0.7,56.56738408,2.1,2.1,0,0,102,0.035865422,,0,,,,,,,,,,,,,,,
M01_SM_A2_C04,282.6538149,22.9,10.94616724,-0.005713437,0,10.94616724,1.124141492,70,,,10.1,,,,,,,7.189941567,-43.73779395,0.7,50.92773551,2.2,2.2,0,0,1,,90,3.2,-43.34716894,-43.34716894,6.09130873,49.43847767,58.69140756,128.5400419,-68.35937653,-1.880357143,0.85,0.95,-68.35937653,-52.60009883,,,
M01_SM_A7_C17,435.7299902,14.93333333,13.2857669,-0.001876791,1,13.2857669,1.123803197,30,,0.742105263,28.2,38,0,,,0.821700564,,21.12426805,-46.99707136,0.7,68.12133941,2.5,2.5,0,0,2,0,130,3.7,-50.15869253,-50.15869253,24.25537164,74.41406416,90.76538289,255.6152401,-134.5214874,-1.900181488,0.55,0.65,-134.5214874,-66.51001125,,,
M02_MW_D2_C04,216.9799853,8.508333333,3.872680751,-0.000613737,0,3.872680751,1.050096719,70,,,14.55,,,,,,,3.662109457,-39.03198329,0.7,42.69409275,2.15,2.15,0,0,,,,0,,,,,,,,,,,,,,,
M02_SM_A2_C04,234.680181,18.70833333,3.2141114,-0.000206656,0,3.2141114,1.032998296,130,,,34.5,,,,,,,34.54589921,-34.51538163,0.7,69.06128084,2.4,56.15,0,0,27,1.030066379,570,3.4,-40.4663095,-40.4663095,35.73608478,76.20239428,98.66333228,274.6582093,-99.48730691,-2.760736196,0.75,0.9,-99.48730691,-62.9272475,,,
M02_SM_A6_C14,194.0918012,13.18333333,1.950073286,-0.000350561,0,1.950073286,1.020545963,190,,,14.6,,,,,,,34.48486405,-45.50171,0.7,79.98657405,1.65,1.65,0,0,,,410,3.35,-52.61230586,-52.61230586,35.33935626,87.95166212,105.0720238,288.6962955,-116.577151,-2.476439791,0.8,0.9,-116.577151,-69.73266757,,,
M03_JS_A1_C07,270.6298889,11.35,1.964599653,0.001470596,1,1.964599653,1.025111327,10,126.025,0.016946759,2,118.0166667,0.484120797,0.079748672,1.444759207,0.979572569,-0.0019813,19.62890669,-51.48315545,0.7,71.11206214,2.6,2.6,2,2132.85,13,1.688135212,75,3.55,-41.7846689,-41.7846689,13.29956084,55.08422975,73.47412274,167.3584022,-72.50976725,-2.308080808,0.85,1,-72.50976725,-60.17456189,,,
M03_JS_A1_C11,516.1743279,29.725,12.593262,-0.001453172,0,12.593262,1.132851536,10,398.55,0.058211015,23.2,398.55,1.077648122,,,0.848624754,,27.67944398,-34.45434647,0.7,62.13379045,4.65,8.85,3,7424,3,1.256237143,165,6.95,-36.06567463,-36.06567463,31.52465891,67.59033354,90.41748249,312.9882882,-147.7050814,-2.119008264,0.55,0.65,-147.7050814,-58.89282358,,,/morphology.html?cell=M3.JS.B5.C11.swc
M03_JS_A1_C19,436.5844824,26.26666667,13.38452178,0.000721518,0,13.38452178,1.133681377,30,98.875,0.084998362,25.95,305.3,1.188262742,0.13981727,4.48003743,0.80571853,-0.037213173,36.65161215,-45.53222758,0.7,82.18383973,2.35,2.35,0,0,33,1.490116069,230,3.5,-50.07324331,-50.07324331,35.49804767,85.57129098,106.896975,285.2783267,-140.5029328,-2.030408341,0.65,0.8,-140.5029328,-71.39892738,,,/morphology.html?cell=M3.JS.D1.C19.swc
M03_JS_A1_C20,387.3901454,28.55833333,8.703735546,-0.006808672,0,8.703735546,1.080876907,30,57.425,0.729462475,47.95,65.73333333,0.145873114,0.046918854,1.602880658,0.802462621,-0.019152898,25.32348689,-44.07348731,0.7,69.39697421,2.7,11.85,0,0,31,0.137384454,,0,,,,,,,,,,,,,,,
M03_SM_A1_C14,133.3618194,15.7,1.523925815,-0.000469077,0,1.523925815,1.016323947,110,,,42.85,,,,,,,41.46118257,-45.41626078,0.7,86.87744335,5.05,22.2,0,0,,,,0,,,,,,,,,,,,,,,
M03_SM_A1_C18,589.1113413,25.99166667,21.03149461,0.003265415,1,21.03149461,1.17980401,10,65.9,0.432013436,41.8,96.75625,0.948676415,0.009699906,1.126106195,0.711903603,-0.005767178,13.97094758,-36.17553792,0.7,50.1464855,3.75,3.75,0,0,36,0.048148236,90,3.55,-38.78784266,-38.78784266,21.06933641,59.85717907,87.06054882,205.3222702,-84.22851751,-2.437681159,0.75,0.95,-84.22851751,-65.99121241,,,
M04_JS_A1_C05,409.6222015,22.90833333,3.100219796,-0.000446431,0,3.100219796,1.038293015,30,,,952.1,,,,,,,25.00305232,-36.74316488,0.7,61.7462172,4.95,81.4,0,0,11,0.320087223,125,3.15,-48.70910753,-48.70910753,30.12085028,78.82995782,98.6114524,310.0586007,-139.7094758,-2.219309742,0.6,0.7,-139.7094758,-68.49060212,,,
M08_SM_A1_C09,108.9477563,17.725,4.947509876,-0.0000667,0,4.947509876,1.062549192,70,,0.653555219,86.4,132.2,0,,,0.905559787,,38.36059656,-41.77856539,0.7,80.13916195,2.45,30.9,0,0,20,0.180714609,770,3.35,-50.65918082,-50.65918082,41.07666107,91.73584189,111.2976099,395.5078213,-107.4218774,-3.681818182,0.7,0.85,-107.4218774,-70.22094884,,,
M10_JS_A1_C20,386.8103114,20.16875,4.731445418,-0.00025343,0,4.731445418,1.051474787,40,78.275,0.465994001,35.6,76.39583333,0.075556587,-0.001429801,0.968814969,0.968006917,-0.001113894,32.80639722,-37.78076256,0.7,70.58715978,5,13.45,0,0,34,0.09814397,410,4.05,-33.41674879,-33.41674879,33.72192458,67.13867338,94.54345914,270.3857482,-109.2529321,-2.474860335,0.65,0.85,-109.2529321,-60.82153456,,,
M03_JS_A1_C14,14.09912141,27.03333333,1.102417017,-0.000836881,0,1.102417017,1.014973828,130,,,50.65,,,,,,,33.53271559,-48.82812609,0.65,82.36084168,5.05,20.2,0,0,,,,0,,,,,,,,,,,,,,,
M03_SM_A1_C02,150.5126987,18.99166667,3.329711988,-0.000273427,0,3.329711988,1.038495681,70,,,128.3,,,,,,,35.96191487,-30.74951241,0.65,66.71142727,5.05,39.7,0,0,1,,,0,,,,,,,,,,,,,,,
M03_SM_A1_C09,128.1127958,13.69166667,2.720092834,-0.000601813,0,2.720092834,1.03139481,150,,,20.1,,,,,,,46.82006941,-49.04785266,0.65,95.86792206,1.7,23.15,0,0,,,,0,,,,,,,,,,,,,,,
M08_JS_A1_C07,487.0605578,26.225,4.718628035,-0.000171677,0,4.718628035,1.039764632,90,,,6.75,,,,,,,5.096435661,-49.74365346,0.65,54.84008912,1.8,1.8,0,0,,,,0,,,,,,,,,,,,,,,
M08_JS_A1_C08,116.2211126,17.8,5.356445432,-0.000900269,0,5.356445432,1.05993553,250,,,26.35,,,,,,,36.2854012,-40.95459076,0.65,77.23999196,1.5,16.05,0,0,,,,0,,,,,,,,,,,,,,,
